id ; title ; groupIds ; ItemClass ; inputItems ; outputItems ; craftTime ; iconPath
1; железная руда ;1;1;  ; 1:1 ;1; iron_ore
2; медная руда ;1;1;  ; 2:1 ;1; copper_ore
3; оловянная руда ;1;1;  ; 3:1 ;1; tin_ore
4; уголь ;1;1;  ; 4:1 ;1; coal
5; камень ;1;1;  ; 5:1 ;1; rock
6; дерево ;1;1;  ; 6:1 ;1; wood
7; живая эссенция ;1;1;  ; 7:1 ;5; live_essence
8; железный слиток ; 2,3,4 ;1; 1:1 ; 8:1 ;2; iron_ignot
9; медный слиток ; 2,3,4 ;1; 2:1 ; 9:1 ;1; copper_ignot
10; оловянный слиток ; 2,3,4 ;1; 3:1 ; 10:1 ;1; tin_ignot
11; бронзовый слиток ; 2,3,4 ;1; 9:1,10:1 ; 11:2 ;2; bronze_ignot
12; стальной слиток ;3;1; 8:5,4:5 ; 12:5 ;10; steel_ignot
13; живой слиток ;3;1; 8:2,7:1 ; 13:1 ;4; live_ignot
14; железная шестерня ;4,5;1; 8:1 ; 14:2 ;2; iron_cog
15; медная шестерня ;4,5;1; 9:1 ; 15:2 ;1; copper_cog
16; бронзовая шестерня ;4,5;1; 11:1 ; 16:2 ;2; bronze_cog
17; стальная шестерня ;5;1; 12:1 ; 17:2 ;4; live_cog
18; живая шестерня ;5;1; 13:1 ; 18:2 ;8; steel_cog
19; железная плита ;4,5;1; 8:2 ; 19:1 ;2; iron_plate
20; медная плита ;4,5;1; 9:2 ; 20:1 ;2; copper_plate
21; бронзовая плита ;4,5;1; 11:2 ; 21:1 ;2; bronze_plate
22; стальная плита ;5;1; 12:2 ; 22:1 ;4; live_plate
23; живая плита ;5;1; 13:2 ; 23:1 ;8; steel_plate
24; строительные конструкции ;4,5;2; 5:1,6:2,9:2,10:2; 24:8 ;4; building_structures
25; железобетонные конструкции ;5;2; 12:2,19:2,21:4,5:2 ; 25:4 ;4; reinforced_construction
26; паровой механизм ;4,5;2; 9:2,14:1,15:2,20:2 ; 26:2 ;4; steam_mechanism
27; поршень ;4,5;2; 8:2,10:2,14:1,19:1 ; 27:3 ;2; steam_piston
28; паровое ядро ;4,5;2; 4:2,10:1,19:1,20:2 ; 28:1 ;5; steam_core
29; паровой механизм высокой прочности ;5;2; 10:2,17:1,16:2,21:2 ; 29:3 ;8; high_strength_steam_mechanism
30; поршень высокой прочности ;5;2; 12:2,11:2,16:1,22:1 ; 30:3 ;4; high_strength_steam_piston
31; паровое ядро высокой прочности ;5;2; 4:4,22:2,21:2 ; 31:1 ;10; high_strength_steam_core
32; живой механизм ;5;2; 17:2,22:2,7:1 ; 32:2 ;12; live_mechanism
33; живой поршень ;5;2; 22:2,12:2,7:1 ; 33:3 ;8; live_piston
34; живое ядро ;5;2; 12:2,17:2,22:2,7:1 ; 34:1 ;15; live_core
35; патроны ;4,5;3; 4:1,19:4,10:2 ; 35:10 ;2; bullets
36; бронебойные патроны ;4,5;3; 22:2,4:2,:12:2 ; 36:10 ;4; improved_bullets
37; артелиерийский снаряд ;4,5;3; 4:5,11:2,21:2 ; 37:2 ;2; artillery_shell
38; бронебойный артелиерийский снаряд ;4,5;3; 22:2,4:10,12:2 ; 38:2 ;4; improved_artillery_shell
