id;title;description;iconPath;ItemClass;ItemType
1;железная руда;;iron_ore;1;1
2;медная руда;;copper_ore;1;1
3;оловянная руда;;tin_ore;1;1
4;уголь;;coal;1;1
5;камень;;rock;1;1
6;живая эссенция;;live_essence;1;1
7;железный слиток;;iron_ignot;1;2
8;медный слиток;;copper_ignot;1;2
9;оловянный слиток;;tin_ignot;1;2
10;бронзовый слиток;;bronze_ignot;1;3
11;стальной слиток;;steel_ignot;1;3
12;живой слиток;;live_ignot;1;3
13;железная шестерня;;iron_cog;1;4
14;медная шестерня;;copper_cog;1;4
15;бронзовая шестерня;;bronze_cog;1;4
16;живая шестерня;;live_cog;1;4
17;стальная шестерня;;steel_cog;1;4
18;железная плита;;iron_plate;1;5
19;медная плита;;copper_plate;1;5
20;бронзовая плита;;bronze_plate;1;5
21;живая плита;;live_plate;1;5
22;стальная плита;;steel_plate;1;5
23;строительные конструкции;;building_structures;2;6
24;железобетонные конструкции;;reinforced_construction;2;6
25;паровой механизм;;steam_mechanism;2;7
26;поршень;;steam_piston;2;7
27;паровое ядро;;steam_core;2;7
28;паровой механизм высокой прочности;;high_strength_steam_mechanism;2;7
29;поршень высокой прочности;;high_strength_steam_piston;2;7
30;паровое ядро высокой прочности;;high_strength_steam_core;2;7
31;живой механизм;;live_mechanism;2;8
32;живой поршень;;live_piston;2;8
33;живое ядро;;live_core;2;8
34;патроны;;bullets;3;9
35;бронебойные патроны;;improved_bullets;3;9
36;артелиерийский снаряд;;artillery_shell;3;10
37;бронебойный артелиерийский снаряд;;improved_artillery_shell;3;10
