id;title;groupIds;ItemClass;inputItems;outputItems;craftTime;iconPath
1;железная руда;1;1;;`1:1;1;iron_ore
2;медная руда;1;1;;`2:1;1;copper_ore
3;оловянная руда;1;1;;`3:1;1;tin_ore
4;уголь;1;1;;`4:1;1;coal
5;камень;1;1;;`5:1;1;rock
6;живая эссенция;1;1;;`6:1;5;live_essence
7;железный слиток;2,3,4;1;`1:1;`7:1;2;iron_ignot
8;медный слиток;2,3,4;1;`2:1;`8:1;1;copper_ignot
9;оловянный слиток;2,3,4;1;`3:1;`9:`;1;tin_ignot
10;бронзовый слиток;2,3,4;1;`2:1,3:1;`10:2;2;bronze_ignot
11;стальной слиток;3;1;`1:5,4:1;`11:5;10;steel_ignot
12;живой слиток;3;1;`5:1,6:1,7:1,10:1;`12:1;4;live_ignot
13;железная шестерня;4,5;1;`7:1;`13:2;2;iron_cog
14;медная шестерня;4,5;1;`8:1;`14:2;1;copper_cog
15;бронзовая шестерня;4,5;1;`10:1;`14:2;2;bronze_cog
16;стальная шестерня;5;1;`11:1;`16:2;4;live_cog
17;живая шестерня;5;1;`12:1;`17:2;8;steel_cog
18;железная плита;4,5;1;`7:2;`18:1;2;iron_plate
19;медная плита;4,5;1;`8:2;`19:1;2;copper_plate
20;бронзовая плита;4,5;1;`10:2;`20:1;2;bronze_plate
21;стальная плита;5;1;`11:2;`21:1;4;live_plate
22;живая плита;5;1;`12:2;`22:1;8;steel_plate
23;строительные конструкции;4,5;2;`7:1,8:1,9:1;`23:8;4;building_structures
24;железобетонные конструкции;5;2;`5:1,7:1,10:2;`25:5;4;reinforced_construction
25;паровой механизм;4,5;2;`10:2,13:2,18:1;`25:2;4;steam_mechanism
26;поршень;4,5;2;`10:1,9:2,14:2;`26:3;2;steam_piston
27;паровое ядро;4,5;2;`7:2,10:2,19:2;`27:1;5;steam_core
28;паровой механизм высокой прочности;5;2;`11:2,7:3,18:2,25:1;`28:3;8;high_strength_steam_mechanism
29;поршень высокой прочности;5;2;`10:2,11:1,16:2,26:1;`29:3;4;high_strength_steam_piston
30;паровое ядро высокой прочности;5;2;`11:2,16:2,21:1,27:1;`30:1;10;high_strength_steam_core
31;живой механизм;5;2;`12:1,17:2,22:1,28:1;`31:2;12;live_mechanism
32;живой поршень;5;2;`12:2,17:1,22:2,29:2;`32:3;8;live_piston
33;живое ядро;5;2;`12:2,17:2,22:2,28:3;`33:1;15;live_core
34;патроны;4,5;3;`9:1,7:1,10:1;`34:10;2;bullets
35;бронебойные патроны;4,5;3;`11:2,34:2;`35:10;4;improved_bullets
36;артелиерийский снаряд;4,5;3;`5:2,7:1,10:1;`36:2;2;artillery_shell
37;бронебойный артелиерийский снаряд;4,5;3;`11:4,36:2;`37:2;4;improved_artillery_shell
