id;title;groupIds;inputItems;outputItems;craftTime;recipeSpritePath
1;железная руда;1;;1:01;1;iron_ore
2;медная руда;1;;2:02;1;copper_ore
3;оловянная руда;1;;3:02;1;tin_ore
4;уголь;1;;4:02;1;coal
5;камень;1;;5:01;1;rock
6;дерево;1;;6:01;1;wood
7;живая эссенция;1;;7:01;5;live_essence
8;железный слиток;2,3,4;1:02;8:02;2;iron_ignot
9;медный слиток;2,3,4;2:02;9:02;1;copper_ignot
10;оловянный слиток;2,3,4;3:02;10:03;1;tin_ignot
11;бронзовый слиток;2,3,4;9:02;11:03;2;bronze_ignot
12;стальной слиток;3;8:05;12:05;10;steel_ignot
13;живой слиток;3;11:4,12:2,7:2;13:01;4;live_ignot
14;железная шестерня;4,5;8:01;13:02;2;iron_cog
15;медная шестерня;4,5;9:01;15:02;1;copper_cog
16;бронзовая шестерня;4,5;11:01;16:02;2;bronze_cog
17;стальная шестерня;5;12:01;18:02;4;live_cog
18;живая шестерня;5;13:01;17:02;8;steel_cog
19;железная плита;4,5;8:02;19:01;2;iron_plate
20;медная плита;4,5;9:02;20:01;2;copper_plate
21;бронзовая плита;4,5;11:02;21:01;2;bronze_plate
22;стальная плита;5;11:02;23:01;4;live_plate
23;живая плита;5;11:02;22:01;8;steel_plate
24;строительные конструкции;4,5;5:1,6:2,9:2,10:2,;24:04:00;4;building_structures
25;железобетонные конструкции;5;12:2,19:2,21:4,5:2;25:02:00;4;reinforced_construction
26;паровой механизм;4,5;9:2,14:1,15:2,20:2;26:02:00;4;steam_mechanism
27;поршень;4,5;8:2,10:2,14:1,19:1;27:03:00;2;steam_piston
28;паровое ядро;4,5;4:2,10:1,19:1,20:2;28:01:00;5;steam_core
29;паровой механизм высокой прочности;5;10:2,17:1,16:2,21:2;29:02:00;8;high_strength_steam_mechanism
30;поршень высокой прочности;5;12:2,11:2,16:1,22:1;30:03:00;4;high_strength_steam_piston
31;паровое ядро высокой прочности;5;4:4,22:2,21:2;31:01:00;10;high_strength_steam_core
32;живой механизм;5;17:2,22:2,7:1;32:01:00;12;live_mechanism
33;живой поршень;5;22:2,12:2,7:1;33:01:00;8;live_piston
34;живое ядро;5;12:2,17:2,22:2,7:1;34:01:00;15;live_core
35;патроны;4,5;4:1,19:4,10:2;35:08:00;2;bullets
36;бронебойные патроны;4,5;22:2,4:2,:12:2;36:04:00;4;improved_bullets
37;артелиерийский снаряд;4,5;4:5,11:2,21:2;37:02:00;2;artillery_shell
38;бронебойный артелиерийский снаряд;4,5;22:2,4:10,12:2;38:01:00;4;improved_artillery_shell
